record_id,company_name,domain,industry,employee_count,country,contact_email,source_captured_at
R1011,Northwind Logistics Partners Inc,northwindlogistics.com,,11-50,U.S.A.,info@northwind.com,2025-09-13
R1115,Sterling Robotics Group Incorporated,sterlingroboticsgr.com,Finance,42,U.S.A.,info@sterling.com,
R1280,"Kestrel,Security",kestrelsecurity.com,Hospitality,51-200,us,info@kestrel.com,2/26/2025
R1033,cedar systems group ltd,cedarsystemsgroup.com,Healthcare,42,,info@cedar.com,
R1319,  Onyx Mining Ltd. ,onyxmining.com,Insurance,1-10,Australia,info@onyx.com,2 Sep 2025
R1232,Granite Insurance Global Inc.,www.graniteinsurancegl.com,,1-10,United Kingdom,,08/05/2025
R1407,Verdant Landscaping LLC,VERDANTLANDSCAPING.COM,Software,200 to 700,CA,info@verdant.com,12 Oct 2025
R1369,saffron spices co,saffronspices.com,Gaming,~42,us,info@saffron.com,8 Jul 2025
R1312,Nimbus Cloud Holdings Incorporated,https://nimbuscloudholding.com/,Media,51-200,Australia,info@nimbus.com,25/03/2025
R1016,Brightpath Analytics,brightpathanalytic.com,Hospitality,100 to 140,DE,info@brightpath.com,13/04/2025
R1462,"  Zephyr,Drones Global LLC ",zephyrdronesglobal.com,,20-60,United Kingdom,info@zephyr.com,2025-01-23
R1095,VANTA FOODS PARTNERS CO.,vantafoodspartners.com,Telecom,51-200,USA,info@vanta.com,
R1042,"Lumen,Retail Incorporated",lumenretail.com,Hospitality,1200+,us,,12/3/2025
R1227,  GRANITE INSURANCE HOLDINGS ,graniteinsuranceho.com,Finance,1000+,USA,info@granite.com,2025/03/16
R1068,Orbit Manufacturing Partners Ltd,orbitmanufacturing.com,Gaming,,Australia,info@orbit.com,2025-02-09
R1243,Halcyon Pharma Partners Co,www.halcyonpharmapartn.com,Gaming,50 to 90,UK,info@halcyon.com,26/07/2025
R1327,Onyx Mining International LLC,https://onyxmininginternat.com/,Telecom,50 to 250,DE,info@onyx.com,07/03/2025
R1035,"Cedar,Systems International Ltd.",cedarsystemsintern.com,Telecom,100 to 140,India,info@cedar.com,2025/01/26
R1307,NIMBUS CLOUD LTD.,NIMBUSCLOUD.COM,Healthcare,,,info@nimbus.com,2025/04/01
R1446,  yarrow textiles co ,yarrowtextiles.com,Manufacturing,50 to 250,DE,info@yarrow.com,3/2/2025
R1052,Lumen Retail Partners Ltd,www.lumenretailpartner.com,Healthcare,1200+,India,info@lumen.com,
R1226,granite insurance holdings llc,,Finance,18+,us,contact@granite,16 Jan 2025
R1219,EMBER HOSPITALITY GLOBAL LTD,emberhospitalitygl.com,Finance,500-1000,Australia,contact@ember,2025-03-16
R1040,  Cedar Systems Global Ltd ,CEDARSYSTEMSGLOBAL.COM,Logistics,~260,DE,info@cedar.com,6 Sep 2025
R1130,Meridian Travel Partners Ltd.,,,87+,India,info@meridian.com,7/1/2025
R1169,Basalt Construction,basaltconstruction.com,,100 to 140,UK,contact@basalt,2025/03/01
R1170,"Basalt,Construction Ltd.",BASALTCONSTRUCTION.COM,Energy,~18,CA,,23/01/2025
R1351,QUARTZ LEGAL GLOBAL LTD,QUARTZLEGALGLOBAL.COM,Healthcare,200 to 240,United States,info@quartz.com,10/22/2025
R1399,Umbra Optics Group Corp,umbraopticsgroup.com,Gaming,,USA, INFO@umbra.com ,2025-10-27
R1081,Harbor Health Ltd,harborhealth.com,Hospitality,~130,us,,23/08/2025
R1197,"Drift,Apparel Incorporated",driftapparel.com,Manufacturing,11-50,United States, INFO@drift.com ,10/18/2025
R1196,Drift Apparel Incorporated,https://driftapparel.com/,Construction,201-500,United Kingdom,info@drift.com,7/15/2025
R1289,LARKSPUR TOYS LTD.,www.larkspurtoys.com,Construction,500 to 700,DE,,
R1077,Quill Software Partners,https://quillsoftwarepartn.com/,Insurance,,DE,info@quill.com,2025/09/24
R1478,Birch Furniture International Co.,https://birchfurnitureinte.com/,,540,Germany,,2025/11/10
R1441,Xenon Labs Partners Co,xenonlabspartners.com,Construction,100 to 600,UK,info@xenon.com,2025-08-03
R1106,PINECREST MEDIA PARTNERS CORP,pinecrestmediapart.com,Healthcare,20-220,IN,info@pinecrest.com,04/10/2025
R1336,Petal Cosmetics International Inc,petalcosmeticsinte.com,,,CA,info@petal.com,
R1032,Cedar Systems Group Inc.,cedarsystemsgroup.com,Healthcare,,,info@cedar.com,14/09/2025
R1186,COBALT TELECOM HOLDINGS INC.,COBALTTELECOMHOLDI.COM,Gaming,18+,India,info@cobalt.com,7/6/2025
R1273,Juniper Mobility Partners Inc.,junipermobilitypar.com,Energy,500 to 590,India,info@juniper.com,8/12/2025
R1078,  Quill Software Global Incorporated ,,Energy,260,Germany,,2025/02/26
R9004,Northwind Logistics Inc,northwindlogistics.com,Logistics,120,USA,ops@northwindlogistics.com,2025-05-19
R1096,"VANTA,FOODS GLOBAL LTD",www.vantafoodsglobal.com,Retail,11-50,us, INFO@vanta.com ,25/11/2025
R1325,  Onyx Mining Group Ltd ,,,,CA,info@onyx.com,
R1058,Orbit Manufacturing Ltd,,Hospitality,1000+,UK,info@orbit.com,10/20/2025
R1448,  Yarrow Textiles Holdings Corp ,,Software,18,United States,info@yarrow.com,2025-10-23
R1030,Cedar Systems,cedarsystems.com,Education,,Germany, INFO@cedar.com ,2025/12/23
R1450,Yarrow Textiles International LLC,,,260,,info@yarrow.com,10/18/2025
R1447,YARROW TEXTILES GROUP CORP,yarrowtextilesgrou.com,Software,501-1000,United Kingdom,,2025-02-15
R1347,  Quartz Legal Holdings Inc. ,quartzlegalholding.com,Healthcare,200 to 700,Germany, INFO@quartz.com ,24/07/2025
R1189,COBALT TELECOM PARTNERS INC,https://cobalttelecompartn.com/,,500-540,,info@cobalt.com,12/20/2025
R1471,Birch Furniture Co,,Gaming,,UK,info@birch.com,2025/05/08
R1475,  BIRCH FURNITURE GROUP CO. ,birchfurnituregrou.com,Healthcare,~18,IN,info@birch.com,1/8/2025
R1343,Quartz Legal Inc.,quartzlegal.com,Insurance,1-10,USA,info@quartz.com,03/12/2025
R1292,larkspur toys holdings ltd,larkspurtoysholdin.com,Pharmaceuticals,200 to 700,CA,info@larkspur.com,20 Nov 2025
R1153,ACORN EDUCATION INCORPORATED,acorneducation.com,Healthcare,1000+,Germany,info@acorn.com,24 Jun 2025
R1113,Sterling Robotics Corp,sterlingrobotics.com,Education,1200,Australia,info@sterling.com,25 Jun 2025
R1125,Meridian Travel Corp,meridiantravel.com,Insurance,1-10,Germany,info@meridian.com,2025/08/23
R1063,orbit manufacturing holdings incorporated,,,201-500,, INFO@orbit.com ,21 Sep 2025
R1249,ironwood agritech incorporated,ironwoodagritech.com,Hospitality,1200+,CA,info@ironwood.com,2025-10-15
R1238,"  Halcyon,Pharma Group Inc. ",halcyonpharmagroup.com,Finance,1000+,Australia,,1 Oct 2025
R1087,Harbor Health International,harborhealthintern.com,Pharmaceuticals,20-60,United Kingdom,info@harbor.com,1/28/2025
R1162,acorn education international ltd.,https://acorneducationinte.com/,,100-300,DE, INFO@acorn.com ,2/21/2025
R1239,"Halcyon,Pharma Holdings Inc.",www.halcyonpharmaholdi.com,Pharmaceuticals,50-550,,contact@halcyon,8 Feb 2025
R1345,  Quartz Legal Holdings LLC ,QUARTZLEGALHOLDING.COM,Healthcare,200-700,India,contact@quartz,
R1451,"Yarrow,Textiles Partners Co.",yarrowtextilespart.com,Finance,130+,United States,info@yarrow.com,12 Nov 2025
R1128,Meridian Travel Holdings Co,meridiantravelhold.com,Gaming,10-50,United Kingdom, INFO@meridian.com ,2025/07/23
R1141,Foxglove Energy Partners,https://foxgloveenergypart.com/,,540,us,info@foxglove.com,25 Nov 2025
R1053,"Lumen,Retail Global Inc.",LUMENRETAILGLOBAL.COM,,200 to 290,United Kingdom,,11 Oct 2025
R1059,Orbit Manufacturing Inc,www.orbitmanufacturing.com,Insurance,540,U.S.A., INFO@orbit.com ,3/8/2025
R1205,Drift Apparel Partners Incorporated,www.driftapparelpartne.com,Software,10-100,DE,info@drift.com,18 Sep 2025
R1048,  Lumen Retail Holdings Co. ,www.lumenretailholding.com,Hospitality,10 to 210,,,08/01/2025
R1207,"  ember,hospitality ltd ",EMBERHOSPITALITY.COM,Gaming,500-540,CA,info@ember.com,2025/02/22
R1276,JUNIPER MOBILITY GLOBAL LTD.,junipermobilityglo.com,Media,10-50,United States,info@juniper.com,22 Oct 2025
R1221,Granite Insurance LLC,www.graniteinsurance.com,Gaming,5+,,info@granite.com,
R1349,Quartz Legal International Inc,quartzlegalinterna.com,Energy,100 to 190,India,info@quartz.com,21/10/2025
R1298,"Mosaic,Payments Group Inc.",https://mosaicpaymentsgrou.com/,Software,200-240,,info@mosaic.com,9 Mar 2025
R1408,"Verdant,Landscaping Co",VERDANTLANDSCAPING.COM,,1200+,IN, INFO@verdant.com ,16 Apr 2025
R1211,Ember Hospitality Group Corp,emberhospitalitygr.com,Pharmaceuticals,500 to 700,United States,info@ember.com,12/7/2025
R1469,Anchor Marine Partners Incorporated,www.anchormarinepartne.com,Hospitality,200 to 240,U.S.A.,,9/1/2025
R1088,HARBOR HEALTH PARTNERS INC,harborhealthpartne.com,Finance,1200+,United States,info@harbor.com,2025/08/06
R1477,  BIRCH FURNITURE HOLDINGS LTD ,BIRCHFURNITUREHOLD.COM,Logistics,200 to 290,IN,info@birch.com,12 Mar 2025
R1198,"  Drift,Apparel Group Ltd ",DRIFTAPPARELGROUP.COM,,100 to 600,UK,,24/01/2025
R1217,Ember Hospitality Global Incorporated,www.emberhospitalitygl.com,Finance,100-140,United States,info@ember.com,10/7/2025
R1079,Harbor Health LLC,,Insurance,42+,United States,info@harbor.com,5/27/2025
R1417,Verdant Landscaping Global Corp,verdantlandscaping.com,Finance,,India,info@verdant.com,
R1119,"Sterling,Robotics Holdings Ltd",,Retail,1-10,U.S.A., INFO@sterling.com ,05/04/2025
R1380,  Saffron Spices Partners Co. ,SAFFRONSPICESPARTN.COM,Retail,540+,Australia,info@saffron.com,16/03/2025
R1067,  Orbit Manufacturing Partners Ltd ,orbitmanufacturing.com,Healthcare,10-50,CA,info@orbit.com,
R1235,Halcyon Pharma Corp,www.halcyonpharma.com,,50 to 90,USA,info@halcyon.com,14 Jul 2025
R1154,"acorn,education",acorneducation.com,Healthcare,,Canada,info@acorn.com,2025/11/14
R1005,Northwind Logistics Group Co,northwindlogistics.com,Insurance,18,,info@northwind.com,2025/02/14
R1342,  Quartz Legal Inc. ,quartzlegal.com,Insurance,,Canada,info@quartz.com,3 Jun 2025
R1403,"Umbra,Optics Partners",umbraopticspartner.com,Software,500 to 540,,info@umbra.com,
R1131,Meridian Travel Global Corp,https://meridiantravelglob.com/,Software,11-50,Australia,info@meridian.com,2025/07/25
R1479,Birch Furniture International Inc,birchfurnitureinte.com,Education,500 to 1000,IN,info@birch.com,01/12/2025
R1213,Ember Hospitality Group Co,emberhospitalitygr.com,,500 to 590,USA,info@ember.com,1 Apr 2025
R1436,Xenon Labs Incorporated,xenonlabs.com,Energy,200 to 400,United Kingdom,info@xenon.com,
R1334,"Petal,Cosmetics Group Corp",petalcosmeticsgrou.com,Finance,50 to 250,U.S.A.,info@petal.com,2025-09-06
R1283,Kestrel Security International Ltd.,https://kestrelsecurityint.com/,Healthcare,201-500,,,4/3/2025
R1453,Yarrow Textiles Partners Co.,YARROWTEXTILESPART.COM,Telecom,5,USA,info@yarrow.com,2025-09-09
R1071,Quill Software Co.,quillsoftware.com,Gaming,100 to 140,Germany, INFO@quill.com ,2025-10-13
R1121,Sterling Robotics Partners Co,sterlingroboticspa.com,Hospitality,,IN,info@sterling.com,2025-07-26
R1374,Saffron Spices Group Ltd.,saffronspicesgroup.com,Telecom,1000+,DE,info@saffron.com,06/04/2025
R1377,Saffron Spices International Ltd,,Finance,201-500,Canada,info@saffron.com,10 Apr 2025
R1036,"Cedar,Systems International Ltd.",cedarsystemsintern.com,Retail,500-590,United Kingdom,info@cedar.com,28/06/2025
R1092,VANTA FOODS GROUP CO.,vantafoodsgroup.com,Pharmaceuticals,130,Germany,contact@vanta,10 Sep 2025
R1344,Quartz Legal Group Ltd,,,51-200,UK,info@quartz.com,2025/03/11
R1346,Quartz Legal Holdings Ltd.,quartzlegalholding.com,Healthcare,50 to 90,USA,info@quartz.com,2025-05-18
R1044,LUMEN RETAIL CO.,lumenretail.com,Construction,,Australia,info@lumen.com,2025-09-19
R1418,"Verdant,Landscaping Global",,Telecom,18+,Australia,info@verdant.com,13 Apr 2025
R1370,saffron spices corp,,Manufacturing,100-140,United Kingdom,info@saffron.com,2025-04-18
R1385,Thicket Gaming Group Co.,thicketgaminggroup.com,Gaming,501-1000,,contact@thicket,3/10/2025
R1133,Foxglove Energy Inc,www.foxgloveenergy.com,Construction,500 to 590,India,info@foxglove.com,13 May 2025
R1435,Xenon Labs Co.,XENONLABS.COM,,42,UK,info@xenon.com,23 Aug 2025
R1099,Pinecrest Media Incorporated,www.pinecrestmedia.com,Hospitality,5+,India,info@pinecrest.com,06/07/2025
R1254,Ironwood Agritech Group Inc.,ironwoodagritechgr.com,,501-1000,,info@ironwood.com,07/04/2025
R1009,Northwind Logistics International Co.,northwindlogistics.com,Manufacturing,,U.S.A.,info@northwind.com,08/06/2025
R1216,Ember Hospitality Partners Corp,emberhospitalitypa.com,Retail,200-240,USA,info@ember.com,03/06/2025
R1222,  Granite Insurance Ltd. ,www.graniteinsurance.com,Pharmaceuticals,,United Kingdom,info@granite.com,1/16/2025
R1368,Rivet Hardware Global Inc.,,,~540,Germany,info@rivet.com,
R1260,"Ironwood,Agritech International Co.",www.ironwoodagritechin.com,Gaming,100-190,USA,,2025/08/25
R1003,northwind logistics ltd,northwindlogistics.com,Insurance,87+,DE, INFO@northwind.com ,2025-12-04
R1027,Brightpath Analytics Global Ltd,brightpathanalytic.com,Finance,,CA, INFO@brightpath.com ,27 Mar 2025
R1034,"cedar,systems holdings incorporated",cedarsystemsholdin.com,Hospitality,42+,USA,info@cedar.com,2025-11-16
R1442,  Xenon Labs Global ,https://xenonlabsglobal.com/,,~18,U.S.A., INFO@xenon.com ,21/05/2025
R1108,"  Pinecrest,Media Partners LLC ",PINECRESTMEDIAPART.COM,Healthcare,1-10,CA,,4/25/2025
R1166,Acorn Education Global Inc,acorneducationglob.com,Logistics,260+,United States,contact@acorn,05/06/2025
R1396,  UMBRA OPTICS CO ,umbraoptics.com,Education,10-510,U.S.A.,info@umbra.com,
R1323,Onyx Mining Group Ltd,www.onyxmininggroup.com,Finance,~5,CA,info@onyx.com,2025/03/11
R1258,  ironwood agritech holdings ltd ,www.ironwoodagritechho.com,,540+,Canada,,27 May 2025
R1073,quill software holdings ltd,https://quillsoftwareholdi.com/,Construction,~42,USA, INFO@quill.com ,10/22/2025
R1306,Mosaic Payments Global,www.mosaicpaymentsglob.com,Hospitality,~260,CA,info@mosaic.com,08/01/2025
R1061,  Orbit Manufacturing Group Inc. ,www.orbitmanufacturing.com,,87,Germany,info@orbit.com,8/2/2025
R1358,Rivet Hardware Inc.,RIVETHARDWARE.COM,Manufacturing,42,USA,contact@rivet,10/23/2025
R1190,COBALT TELECOM PARTNERS CO,cobalttelecompartn.com,Healthcare,200-240,,info@cobalt.com,2025-05-28
R1185,  COBALT TELECOM HOLDINGS LTD. ,https://cobalttelecomholdi.com/,Logistics,42+,Australia,,2025-09-01
R1339,  Petal Cosmetics Partners Co. ,,Software,200 to 400,Germany,info@petal.com,2025/12/19
R1150,"  Tideline,Finance Partners Inc. ",tidelinefinancepar.com,Pharmaceuticals,1000+,IN,info@tideline.com,2025-11-19
R1376,saffron spices holdings ltd.,saffronspicesholdi.com,Finance,,UK,contact@saffron,2025-06-18
R1389,Thicket Gaming Holdings Inc,www.thicketgamingholdi.com,Telecom,,CA,contact@thicket,2 Jul 2025
R1363,"Rivet,Hardware International Incorporated",RIVETHARDWAREINTER.COM,Energy,87,Australia,info@rivet.com,3/2/2025
R1236,  HALCYON PHARMA GROUP LTD. ,,Education,51-200,IN,info@halcyon.com,16/12/2025
R1415,  VERDANT LANDSCAPING PARTNERS CO. ,www.verdantlandscaping.com,Gaming,540,USA,info@verdant.com,2025/04/10
R1149,  Tideline Finance International Ltd. ,TIDELINEFINANCEINT.COM,,130+,Germany,contact@tideline,
R1286,kestrel security global incorporated,kestrelsecurityglo.com,,~5,Germany,info@kestrel.com,2025/07/12
R1019,"brightpath,analytics group",brightpathanalytic.com,Healthcare,501-1000,CA,info@brightpath.com,4/13/2025
R1210,Ember Hospitality Co.,www.emberhospitality.com,Insurance,10 to 210,,,3/16/2025
R1304,Mosaic Payments Partners Inc.,mosaicpaymentspart.com,Construction,42+,Canada,info@mosaic.com,
R1171,"BASALT,CONSTRUCTION GROUP",basaltconstruction.com,Insurance,~18,United Kingdom,info@basalt.com,2025-11-19
R1237,Halcyon Pharma Group Inc.,halcyonpharmagroup.com,,87,DE,info@halcyon.com,3/9/2025
R1178,Basalt Construction Global Ltd.,basaltconstruction.com,Insurance,~260,Germany,info@basalt.com,2025/08/08
R1285,Kestrel Security Partners Co.,kestrelsecuritypar.com,Telecom,18+,Australia,info@kestrel.com,2025/06/25
R1194,  Drift Apparel Co. ,driftapparel.com,Manufacturing,5+,USA,info@drift.com,22 Jul 2025
R1037,CEDAR SYSTEMS PARTNERS INC,https://cedarsystemspartne.com/,Education,200-290,Australia,,10/11/2025
R1335,"PETAL,COSMETICS HOLDINGS INC",PETALCOSMETICSHOLD.COM,,10-210,UK,,14 May 2025
R1024,Brightpath Analytics International Corp,brightpathanalytic.com,Energy,50 to 250,UK,info@brightpath.com,13 Dec 2025
R1359,Rivet Hardware Co,rivethardware.com,Gaming,50 to 90,,info@rivet.com,2025-06-02
R1124,"Meridian,Travel Inc.",www.meridiantravel.com,Manufacturing,200 to 400,IN,info@meridian.com,09/11/2025
R1101,Pinecrest Media Corp,pinecrestmedia.com,,10 to 210,India,info@pinecrest.com,09/07/2025
R1271,Juniper Mobility Holdings Corp,junipermobilityhol.com,Hospitality,100 to 600,IN,info@juniper.com,2025/11/09
R1187,cobalt telecom international co,,Construction,540,Australia,info@cobalt.com,2025-11-23
R1212,Ember Hospitality Group Ltd.,https://emberhospitalitygr.com/,Pharmaceuticals,,CA, INFO@ember.com ,2025-12-10
R1199,  Drift Apparel Holdings Corp ,https://driftapparelholdin.com/,Insurance,20 to 220,Germany,contact@drift,2025-10-01
R1253,  Ironwood Agritech Group LLC ,https://ironwoodagritechgr.com/,Gaming,,USA,info@ironwood.com,
R1257,  Ironwood Agritech Holdings Inc. ,IRONWOODAGRITECHHO.COM,,20 to 220,USA,info@ironwood.com,2025-05-13
R1331,Petal Cosmetics Incorporated,www.petalcosmetics.com,,~130,U.S.A.,info@petal.com,2025/02/02
R1112,  Sterling Robotics Ltd ,STERLINGROBOTICS.COM,,,Canada,contact@sterling,2025/06/05
R1064,  Orbit Manufacturing Holdings Corp ,orbitmanufacturing.com,,,DE,contact@orbit,7/20/2025
R1188,Cobalt Telecom International Inc.,www.cobalttelecominter.com,Education,87+,Australia,info@cobalt.com,
R1248,Ironwood Agritech Inc.,https://ironwoodagritech.com/,Pharmaceuticals,87,IN,contact@ironwood,2025/05/12
R1367,  Rivet Hardware Partners Incorporated ,https://rivethardwarepartn.com/,Gaming,42,Germany,info@rivet.com,05/05/2025
R1047,lumen retail holdings co,LUMENRETAILHOLDING.COM,Healthcare,~260,CA,info@lumen.com,2025/10/15
R1366,rivet hardware partners ltd,www.rivethardwarepartn.com,Gaming,500-540,Germany,info@rivet.com,2025/09/27
R1428,Willow Childcare International Ltd,willowchildcareint.com,Media,~130,CA, INFO@willow.com ,2025-07-03
R1421,Willow Childcare Incorporated,willowchildcare.com,Software,130,Canada,info@willow.com,2025-09-26
R1156,  Acorn Education Incorporated ,acorneducation.com,Education,20 to 520,United Kingdom,info@acorn.com,2025/11/12
R1310,"NIMBUS,CLOUD GROUP CORP",www.nimbuscloudgroup.com,Energy,100 to 600,India,info@nimbus.com,2025-02-08
R1245,Halcyon Pharma Global Inc,halcyonpharmagloba.com,Healthcare,51-200,Germany,,
R1072,Quill Software Group Co,quillsoftwaregroup.com,Insurance,130,,info@quill.com,8/2/2025
R1468,anchor marine international ltd,www.anchormarineintern.com,,,CA,info@anchor.com,2/15/2025
R1103,Pinecrest Media Group Co,https://pinecrestmediagrou.com/,Logistics,260,Germany,info@pinecrest.com,
R1029,Cedar Systems,cedarsystems.com,Construction,42+,DE,info@cedar.com,01/07/2025
R1314,nimbus cloud international inc,,Media,1200+,IN,info@nimbus.com,
R1008,  northwind logistics holdings corp ,www.northwindlogistics.com,Finance,,,info@northwind.com,2025-06-07
R1356,Rivet Hardware Ltd.,rivethardware.com,,1000+,us,info@rivet.com,2025-01-24
R9002,   ,,,,,,
R1242,Halcyon Pharma International Inc.,halcyonpharmainter.com,Logistics,~87,UK,info@halcyon.com,2025-07-18
R1459,"ZEPHYR,DRONES INTERNATIONAL CO.",ZEPHYRDRONESINTERN.COM,,18,United Kingdom,info@zephyr.com,21/12/2025
R1333,petal cosmetics inc,petalcosmetics.com,Hospitality,500 to 540,Australia,,12/18/2025
R1309,"  Nimbus,Cloud Group LLC ",,,~130,us,info@nimbus.com,2025-02-14
R1151,"Tideline,Finance Partners Inc.",www.tidelinefinancepar.com,Pharmaceuticals,501-1000,UK,info@tideline.com,11/6/2025
R1080,Harbor Health Co,,,130,United Kingdom,info@harbor.com,2025/12/21
R1409,Verdant Landscaping Ltd,verdantlandscaping.com,Manufacturing,130+,India,info@verdant.com,11/15/2025
R1431,  Xenon Labs ,xenonlabs.com,Insurance,500-590,Australia,info@xenon.com,
R1083,"harbor,health group corp",,Media,500-700,U.S.A.,info@harbor.com,
R1362,  Rivet Hardware Holdings Co ,rivethardwareholdi.com,Energy,130+,CA,info@rivet.com,03/07/2025
R1082,Harbor Health Group,harborhealthgroup.com,Retail,,USA,info@harbor.com,12 Nov 2025
R1340,Petal Cosmetics Global,www.petalcosmeticsglob.com,Construction,540+,U.S.A.,info@petal.com,2025/05/28
R1432,XENON LABS CORP,xenonlabs.com,,~1200,Australia,,2025/09/12
R1200,Drift Apparel Holdings Co,https://driftapparelholdin.com/,Insurance,,Australia,info@drift.com,
R1137,"  Foxglove,Energy LLC ",www.foxgloveenergy.com,Construction,540+,,info@foxglove.com,
R1463,  Anchor Marine Ltd. ,anchormarine.com,Construction,,U.S.A.,info@anchor.com,23 Jun 2025
R1065,  Orbit Manufacturing Holdings Inc. ,orbitmanufacturing.com,Telecom,500-700,IN,info@orbit.com,
R1354,  RIVET HARDWARE LTD ,www.rivethardware.com,Telecom,87+,United States,info@rivet.com,3/25/2025
R1420,"  Willow,Childcare Incorporated ",willowchildcare.com,Manufacturing,~5,us, INFO@willow.com ,19 Nov 2025
R1287,Larkspur Toys Corp,larkspurtoys.com,Healthcare,100 to 140,IN,contact@larkspur,12/24/2025
R1175,BASALT CONSTRUCTION INTERNATIONAL INC.,basaltconstruction.com,Insurance,20 to 110,Germany,info@basalt.com,15 Sep 2025
R1361,"Rivet,Hardware Group Ltd.",rivethardwaregroup.com,Insurance,500-540,UK,info@rivet.com,8/15/2025
R1379,Saffron Spices Partners Co,saffronspicespartn.com,,,Australia,info@saffron.com,2025/05/25
R1230,"  Granite,Insurance Partners Inc. ",graniteinsurancepa.com,Pharmaceuticals,1200,us,info@granite.com,2025/09/13
R1265,  Juniper Mobility Inc. ,junipermobility.com,Construction,201-500,CA,info@juniper.com,07/11/2025
R1120,Sterling Robotics International Ltd,sterlingroboticsin.com,Healthcare,200-400,,info@sterling.com,8 May 2025
R1279,KESTREL SECURITY INCORPORATED,KESTRELSECURITY.COM,Logistics,1-10,CA,info@kestrel.com,2025/01/23
R1043,  Lumen Retail LLC ,lumenretail.com,Construction,~1200,United Kingdom,contact@lumen,2025-11-25
R1085,Harbor Health Holdings Inc.,www.harborhealthholdin.com,,20-110,United States,info@harbor.com,12 May 2025
R1330,Onyx Mining Global Co.,onyxminingglobal.com,,1-10,UK,info@onyx.com,
R1397,Umbra Optics Co,umbraoptics.com,Construction,42,United Kingdom,info@umbra.com,2025/03/08
R1272,"  Juniper,Mobility International Incorporated ",junipermobilityint.com,,1-10,CA,info@juniper.com,2025/11/09
R1233,halcyon pharma,HALCYONPHARMA.COM,Software,130,Australia,info@halcyon.com,19 Aug 2025
R1305,MOSAIC PAYMENTS PARTNERS INC.,https://mosaicpaymentspart.com/,Retail,1200,United Kingdom,info@mosaic.com,
R1321,  Onyx Mining Corp ,onyxmining.com,,18,India,info@onyx.com,2025/01/10
R1054,  Lumen Retail Global Inc. ,LUMENRETAILGLOBAL.COM,Manufacturing,10 to 50,United Kingdom,contact@lumen,
R1375,saffron spices holdings inc,www.saffronspicesholdi.com,Manufacturing,50 to 550,CA,info@saffron.com,02/04/2025
R1090,Vanta Foods Ltd.,,Gaming,,United States,info@vanta.com,2025-04-02
R1143,Tideline Finance Co.,tidelinefinance.com,Construction,200-400,UK,info@tideline.com,1 Sep 2025
R1393,  THICKET GAMING PARTNERS CORP ,https://thicketgamingpartn.com/,Software,50-90,IN,info@thicket.com,2025/06/28
R1117,  Sterling Robotics Group Co ,STERLINGROBOTICSGR.COM,Construction,1200,CA,info@sterling.com,2025/11/12
R1360,RIVET HARDWARE GROUP CO.,www.rivethardwaregroup.com,Healthcare,501-1000,CA,info@rivet.com,5/1/2025
R1348,"Quartz,Legal International Incorporated",QUARTZLEGALINTERNA.COM,Logistics,,IN,contact@quartz,19 Apr 2025
